Player ID,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb
,Shaun Alexander,28.0,SEA,RB,16.0,16.0,370.0,1880.0,27.0,109.0,52.7,88.0,5.1,117.5,23.1,5.0
,Edgerrin James,27.0,IND,RB,15.0,15.0,360.0,1506.0,13.0,97.0,58.9,33.0,4.2,100.4,24.0,2.0
,Tiki Barber,30.0,NYG,RB,16.0,16.0,357.0,1860.0,9.0,74.0,47.9,95.0,5.2,116.3,22.3,1.0
,Clinton Portis,24.0,WAS,RB,16.0,16.0,352.0,1516.0,11.0,76.0,48.3,47.0,4.3,94.8,22.0,3.0
,LaDainian Tomlinson,26.0,SDG,RB,16.0,16.0,339.0,1462.0,18.0,72.0,46.9,62.0,4.3,91.4,21.2,3.0
,Rudi Johnson,26.0,CIN,RB,16.0,14.0,337.0,1458.0,12.0,80.0,50.1,33.0,4.3,91.1,21.1,1.0
,Larry Johnson,26.0,KAN,RB,16.0,9.0,336.0,1750.0,20.0,99.0,53.0,49.0,5.2,109.4,21.0,5.0
,Willis McGahee,24.0,BUF,RB,16.0,15.0,325.0,1247.0,5.0,71.0,44.3,27.0,3.8,77.9,20.3,1.0
,Thomas Jones,27.0,CHI,RB,15.0,15.0,314.0,1335.0,9.0,63.0,38.9,42.0,4.3,89.0,20.9,2.0
,Reuben Droughns,27.0,CLE,RB,16.0,16.0,309.0,1232.0,2.0,61.0,44.0,75.0,4.0,77.0,19.3,6.0
,Cadillac Williams,23.0,TAM,RB,14.0,14.0,290.0,1178.0,6.0,59.0,42.4,71.0,4.1,84.1,20.7,3.0
,Warrick Dunn,30.0,ATL,RB,16.0,16.0,280.0,1416.0,3.0,67.0,45.4,65.0,5.1,88.5,17.5,3.0
,LaMont Jordan,27.0,OAK,RB,14.0,14.0,272.0,1025.0,9.0,62.0,45.6,26.0,3.8,73.2,19.4,2.0
,Jamal Lewis,26.0,BAL,RB,15.0,15.0,269.0,906.0,3.0,49.0,41.3,25.0,3.4,60.4,17.9,5.0
,Julius Jones,24.0,DAL,RB,13.0,12.0,257.0,993.0,5.0,48.0,38.1,51.0,3.9,76.4,19.8,4.0
,Willie Parker,25.0,PIT,RB,15.0,15.0,255.0,1202.0,4.0,48.0,47.1,80.0,4.7,80.1,17.0,4.0
,Steven Jackson,22.0,STL,RB,15.0,15.0,254.0,1046.0,8.0,50.0,41.7,51.0,4.1,69.7,16.9,3.0
,Mike Anderson,32.0,DEN,RB,15.0,15.0,239.0,1014.0,12.0,61.0,48.1,44.0,4.2,67.6,15.9,2.0
,Domanick Williams,25.0,HOU,RB,11.0,11.0,230.0,976.0,2.0,39.0,43.5,44.0,4.2,88.7,20.9,2.0
,Chris Brown,24.0,TEN,RB,15.0,14.0,224.0,851.0,5.0,37.0,40.6,38.0,3.8,56.7,14.9,4.0
,Curtis Martin,32.0,NYJ,RB,12.0,12.0,220.0,735.0,5.0,37.0,40.0,49.0,3.3,61.3,18.3,2.0
,Corey Dillon,31.0,NWE,RB,12.0,10.0,209.0,733.0,12.0,51.0,47.4,29.0,3.5,61.1,17.4,1.0
103440.0,Ronnie Brown,24.0,MIA,RB,15.0,14.0,207.0,907.0,4.0,42.0,44.9,65.0,4.4,60.5,13.8,4.0
,DeShaun Foster,25.0,CAR,RB,15.0,5.0,205.0,879.0,2.0,38.0,41.0,70.0,4.3,58.6,13.7,2.0
,Fred Taylor,29.0,JAX,RB,11.0,11.0,194.0,787.0,3.0,29.0,37.6,71.0,4.1,71.5,17.6,0.0
,Kevin Jones,23.0,DET,RB,13.0,13.0,186.0,664.0,5.0,29.0,41.4,40.0,3.6,51.1,14.3,2.0
,Stephen Davis,31.0,CAR,RB,13.0,11.0,180.0,549.0,12.0,32.0,37.2,39.0,3.1,42.2,13.8,2.0
,Kevan Barlow,26.0,SFO,RB,12.0,12.0,176.0,581.0,3.0,20.0,27.8,29.0,3.3,48.4,14.7,2.0
,Tatum Bell,24.0,DEN,RB,15.0,1.0,173.0,921.0,8.0,42.0,39.9,68.0,5.3,61.4,11.5,3.0
,Ricky Williams,28.0,MIA,RB,12.0,3.0,168.0,743.0,6.0,39.0,45.8,35.0,4.4,61.9,14.0,1.0
,Antowain Smith,33.0,NOR,RB,16.0,7.0,166.0,659.0,3.0,23.0,36.1,42.0,4.0,41.2,10.4,2.0
,Marcel Shipp,27.0,ARI,RB,15.0,11.0,157.0,451.0,0.0,23.0,40.8,19.0,2.9,30.1,10.5,4.0
,Brian Westbrook,26.0,PHI,RB,12.0,12.0,156.0,617.0,3.0,29.0,37.8,31.0,4.0,51.4,13.0,0.0
,Mewelde Moore,23.0,MIN,RB,16.0,8.0,155.0,662.0,1.0,33.0,40.0,33.0,4.3,41.4,9.7,2.0
,Greg Jones,24.0,JAX,FB,14.0,13.0,151.0,575.0,4.0,32.0,42.4,27.0,3.8,41.1,10.8,0.0
,Samkon Gado,23.0,GNB,RB,8.0,5.0,143.0,582.0,6.0,32.0,42.0,64.0,4.1,72.8,17.9,4.0
127742.0,Marion Barber III,22.0,DAL,RB,13.0,2.0,138.0,538.0,5.0,31.0,37.7,28.0,3.9,41.4,10.6,3.0
120142.0,Frank Gore,22.0,SFO,RB,14.0,1.0,127.0,608.0,3.0,27.0,45.7,72.0,4.8,43.4,9.1,2.0
,Michael Bennett,27.0,MIN,RB,16.0,6.0,126.0,473.0,3.0,21.0,38.9,61.0,3.8,29.6,7.9,5.0
