Player ID,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck
4035239.0,Braden Mann,23.0,NYJ,P,16.0,0.0,82.0,3598.0,43.9,446.0,3052.0,37.2,60.0,5.0,6.1,19.0,23.2,0.0
377859.0,Tress Way,30.0,WAS,P,16.0,0.0,73.0,3504.0,48.0,209.0,3235.0,44.3,65.0,3.0,4.1,23.0,31.5,0.0
169396.0,Kevin Huber,35.0,CIN,P,16.0,0.0,71.0,3350.0,47.2,170.0,3040.0,42.8,72.0,7.0,9.9,19.0,26.8,0.0
549816.0,Cameron Johnston,28.0,PHI,P,16.0,0.0,71.0,3318.0,46.7,274.0,2924.0,40.6,66.0,6.0,8.5,26.0,36.6,1.0
546439.0,Matt Haack,26.0,MIA,P,16.0,0.0,68.0,3040.0,44.7,297.0,2703.0,39.8,63.0,2.0,2.9,26.0,38.2,0.0
379324.0,Johnny Hekker,30.0,LAR,P,16.0,0.0,68.0,3099.0,45.6,297.0,2702.0,39.2,63.0,5.0,7.4,28.0,41.2,1.0
4035685.0,Mitch Wishnowsky,28.0,SFO,P,16.0,0.0,66.0,3093.0,46.9,183.0,2790.0,41.6,60.0,6.0,9.1,25.0,37.9,1.0
514471.0,Riley Dixon,27.0,NYG,P,16.0,0.0,65.0,2911.0,44.8,232.0,2559.0,38.8,71.0,6.0,9.2,28.0,43.1,1.0
,Sam Martin,30.0,DEN,P,16.0,0.0,65.0,3040.0,46.8,226.0,2734.0,41.4,69.0,4.0,6.2,19.0,29.2,1.0
487725.0,Pat O'Donnell,29.0,CHI,P,16.0,0.0,64.0,2924.0,45.7,294.0,2530.0,39.5,64.0,5.0,7.8,28.0,43.8,0.0
170311.0,Thomas Morstead,34.0,NOR,P,16.0,0.0,62.0,2674.0,43.1,46.0,2588.0,41.7,58.0,2.0,3.2,23.0,37.1,0.0
3929851.0,Michael Dickson,24.0,SEA,P,16.0,0.0,61.0,3028.0,49.6,199.0,2709.0,44.4,67.0,6.0,9.8,32.0,52.5,0.0
3916370.0,Jack Fox,24.0,DET,P,16.0,0.0,59.0,2897.0,49.1,116.0,2641.0,44.8,67.0,7.0,11.9,26.0,44.1,0.0
,Andy Lee,38.0,ARI,P,16.0,0.0,58.0,2600.0,44.8,201.0,2299.0,39.6,61.0,5.0,8.6,21.0,36.2,0.0
485530.0,Jordan Berry,29.0,PIT,P,11.0,0.0,57.0,2609.0,45.8,242.0,2307.0,40.5,62.0,3.0,5.3,23.0,40.4,0.0
518248.0,Ty Long,27.0,LAC,P,16.0,0.0,57.0,2669.0,46.8,564.0,2045.0,34.1,63.0,3.0,5.3,12.0,21.1,3.0
559659.0,Logan Cooke,25.0,JAX,P,14.0,0.0,56.0,2669.0,47.7,148.0,2421.0,43.2,67.0,5.0,8.9,19.0,33.9,0.0
3916449.0,Sterling Hofrichter,24.0,ATL,P,16.0,0.0,56.0,2381.0,42.5,142.0,2199.0,39.3,57.0,2.0,3.6,17.0,30.4,0.0
,Jake Bailey,23.0,NWE,P,16.0,0.0,55.0,2678.0,48.7,71.0,2507.0,45.6,71.0,5.0,9.1,31.0,56.4,0.0
534595.0,Bradley Pinion,26.0,TAM,P,16.0,0.0,55.0,2486.0,45.2,236.0,2210.0,40.2,62.0,2.0,3.6,19.0,34.5,0.0
238199.0,Bryan Anger,32.0,HOU,P,16.0,0.0,54.0,2505.0,46.4,128.0,2257.0,41.8,67.0,6.0,11.1,19.0,35.2,0.0
146878.0,Britton Colquitt,35.0,MIN,P,16.0,0.0,54.0,2435.0,45.1,321.0,2054.0,36.7,59.0,3.0,5.6,11.0,20.4,2.0
3915398.0,Tommy Townsend,24.0,KAN,P,16.0,0.0,52.0,2339.0,45.0,119.0,2100.0,40.4,67.0,6.0,11.5,20.0,38.5,0.0
3936185.0,Jamie Gillan,23.0,CLE,P,16.0,0.0,51.0,2244.0,44.0,229.0,1955.0,38.3,59.0,3.0,5.9,14.0,27.5,0.0
123206.0,Sam Koch,38.0,BAL,P,15.0,0.0,51.0,2268.0,44.5,82.0,2166.0,42.5,59.0,1.0,2.0,22.0,43.1,0.0
3126368.0,JK Scott,25.0,GNB,P,16.0,0.0,46.0,2092.0,45.5,291.0,1741.0,37.0,62.0,3.0,6.5,15.0,32.6,1.0
