Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
559592.0,Jamal Adams,23,NYJ,SS,16,16,1,38,0,38,12,3,0,1,5,0,3.5,115,86,29,9,8,0
148561.0,Mike Adams,37,CAR,FS,16,16,3,11,0,18,6,0,0,0,0,0,0.0,75,47,28,3,1,0
383478.0,Jahleel Addae,28,LAC,SS,16,16,1,19,0,19,3,0,1,1,0,0,1.0,75,52,23,1,1,0
,Mario Addison,31,CAR,LDE,16,16,0,0,0,0,0,2,0,0,0,0,9.0,35,20,15,11,12,0
531010.0,Nelson Agholor,25,PHI,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,Jonathan Allen,23,WAS,LDE,16,16,0,0,0,0,0,0,0,0,0,0,8.0,61,35,26,11,15,0
518190.0,Adrian Amos,25,CHI,FS,16,16,2,27,0,26,9,0,0,1,15,0,1.0,73,59,14,2,1,0
,David Andrews,26,NWE,C,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0
,Arik Armstead,25,SFO,RDE,16,16,0,0,0,0,0,0,0,0,0,0,3.0,48,33,15,6,12,0
,Geno Atkins,30,CIN,RDT,16,16,0,0,0,0,0,0,0,0,0,0,10.0,45,24,21,13,19,0
550025.0,Peyton Barber,24,TAM,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
3919512.0,Jessie Bates III,21,CIN,FS,16,16,3,42,1,21,7,0,0,0,0,0,0.0,111,73,38,0,0,0
,Antoine Bethea,34,ARI,FS,16,16,0,0,0,0,4,1,0,0,0,0,3.0,121,100,21,5,6,0
,Andrew Billings,23,CIN,LDT,16,16,0,0,0,0,0,0,0,0,0,0,2.5,32,22,10,8,7,0
,Joel Bitonio,27,CLE,LG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0
,Austin Blythe,26,LAR,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
515862.0,James Bradberry,25,CAR,LCB,16,16,1,29,0,29,15,1,0,0,0,0,1.0,70,58,12,1,1,0
,Tom Brady,41,NWE,QB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0
481978.0,Michael Brockers,28,LAR,LDE,16,16,0,0,0,0,0,0,0,0,0,0,1.0,54,33,21,4,4,0
