Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,Damon Harrison,30,2TM,RDT,17,16,0,0,0,0,1,2,0,1,0,0,3.5,81,52,29,9,8,0,
1,Damon Harrison,30,NYG,NT,7,7,0,0,0,0,0,1,0,0,0,0,0.0,31,15,16,4,1,0,
1,Damon Harrison,30,DET,RDT,10,9,0,0,0,0,1,1,0,1,0,0,3.5,50,37,13,5,7,0,
2,Jamal Adams,23,NYJ,SS,16,16,1,38,0,38,12,3,0,1,5,0,3.5,115,86,29,9,8,0,"PB,AP-2"
3,Mike Adams,37,CAR,FS,16,16,3,11,0,18,6,0,0,0,0,0,0.0,75,47,28,3,1,0,
4,Jahleel Addae,28,LAC,SS,16,16,1,19,0,19,3,0,1,1,0,0,1.0,75,52,23,1,1,0,
5,Mario Addison,31,CAR,LDE,16,16,0,0,0,0,0,2,0,0,0,0,9.0,35,20,15,11,12,0,
6,Nelson Agholor,25,PHI,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
7,Jonathan Allen,23,WAS,LDE,16,16,0,0,0,0,0,0,0,0,0,0,8.0,61,35,26,11,15,0,
8,Adrian Amos,25,CHI,FS,16,16,2,27,0,26,9,0,0,1,15,0,1.0,73,59,14,2,1,0,
9,David Andrews,26,NWE,C,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
10,Arik Armstead,25,SFO,RDE,16,16,0,0,0,0,0,0,0,0,0,0,3.0,48,33,15,6,12,0,
11,Geno Atkins,30,CIN,RDT,16,16,0,0,0,0,0,0,0,0,0,0,10.0,45,24,21,13,19,0,PB
12,Peyton Barber,24,TAM,RB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
13,Jessie Bates III,21,CIN,FS,16,16,3,42,1,21,7,0,0,0,0,0,0.0,111,73,38,0,0,0,
14,Antoine Bethea,34,ARI,FS,16,16,0,0,0,0,4,1,0,0,0,0,3.0,121,100,21,5,6,0,
15,Andrew Billings,23,CIN,LDT,16,16,0,0,0,0,0,0,0,0,0,0,2.5,32,22,10,8,7,0,
16,Joel Bitonio,27,CLE,LG,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,"PB,AP-2"
17,Austin Blythe,26,LAR,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
18,James Bradberry,25,CAR,LCB,16,16,1,29,0,29,15,1,0,0,0,0,1.0,70,58,12,1,1,0,
