Player ID,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb
,Michael Turner,28.0,ATL,RB,16.0,15.0,334.0,1371.0,12.0,75.0,44.0,55.0,4.1,85.7,20.9,2.0
,Steven Jackson,27.0,STL,RB,16.0,16.0,330.0,1241.0,6.0,60.0,39.7,42.0,3.8,77.6,20.6,1.0
161068.0,Arian Foster,24.0,HOU,RB,16.0,13.0,327.0,1616.0,16.0,90.0,51.4,74.0,4.9,101.0,20.4,3.0
174861.0,Rashard Mendenhall,23.0,PIT,RB,16.0,16.0,324.0,1273.0,13.0,61.0,40.4,50.0,3.9,79.6,20.3,2.0
120228.0,Cedric Benson,28.0,CIN,RB,16.0,16.0,321.0,1111.0,7.0,59.0,44.2,26.0,3.5,69.4,20.1,7.0
,Chris Johnson,25.0,TEN,RB,16.0,16.0,316.0,1364.0,11.0,57.0,37.3,76.0,4.3,85.3,19.8,3.0
176934.0,Ray Rice,23.0,BAL,RB,16.0,14.0,307.0,1220.0,5.0,53.0,43.3,50.0,4.0,76.3,19.2,0.0
145130.0,Maurice Jones-Drew,25.0,JAX,RB,14.0,14.0,299.0,1324.0,5.0,74.0,50.8,37.0,4.4,94.6,21.4,2.0
161717.0,Adrian Peterson,25.0,MIN,RB,15.0,15.0,283.0,1298.0,12.0,71.0,45.6,80.0,4.6,86.5,18.9,1.0
,Ahmad Bradshaw,24.0,NYG,RB,16.0,11.0,276.0,1235.0,8.0,53.0,44.2,48.0,4.5,77.2,17.3,7.0
161982.0,Peyton Hillis,24.0,CLE,RB,16.0,14.0,270.0,1177.0,11.0,58.0,51.5,48.0,4.4,73.6,16.9,8.0
,Thomas Jones,32.0,KAN,RB,16.0,10.0,245.0,896.0,6.0,39.0,41.6,70.0,3.7,56.0,15.3,3.0
161747.0,Matt Forte,25.0,CHI,RB,16.0,16.0,237.0,1069.0,6.0,43.0,40.9,68.0,4.5,66.8,14.8,3.0
175766.0,Jamaal Charles,24.0,KAN,RB,16.0,6.0,230.0,1467.0,5.0,70.0,54.8,80.0,6.4,91.7,14.4,3.0
145975.0,BenJarvus Green-Ellis,25.0,NWE,RB,16.0,11.0,229.0,1008.0,13.0,65.0,54.1,33.0,4.4,63.0,14.3,0.0
170928.0,Darren McFadden,23.0,OAK,RB,13.0,13.0,223.0,1157.0,7.0,46.0,41.7,57.0,5.2,89.0,17.2,4.0
,Fred Jackson,29.0,BUF,RB,16.0,13.0,222.0,927.0,5.0,40.0,46.8,39.0,4.2,57.9,13.9,5.0
,LaDainian Tomlinson,31.0,NYJ,RB,15.0,13.0,219.0,914.0,6.0,43.0,43.4,31.0,4.2,60.9,14.6,4.0
235978.0,LeSean McCoy,22.0,PHI,RB,15.0,13.0,207.0,1080.0,7.0,46.0,46.4,62.0,5.2,72.0,13.8,2.0
120142.0,Frank Gore,27.0,SFO,RB,11.0,11.0,203.0,853.0,3.0,42.0,47.3,64.0,4.2,77.5,18.5,4.0
378483.0,LeGarrette Blount,24.0,TAM,RB,13.0,7.0,201.0,1007.0,6.0,38.0,43.8,53.0,5.0,77.5,15.5,4.0
103440.0,Ronnie Brown,29.0,MIA,RB,16.0,16.0,200.0,734.0,5.0,40.0,41.5,51.0,3.7,45.9,12.5,3.0
,Brandon Jackson,25.0,GNB,RB,16.0,13.0,190.0,703.0,3.0,30.0,42.1,71.0,3.7,43.9,11.9,1.0
160849.0,Shonn Greene,25.0,NYJ,RB,15.0,2.0,185.0,766.0,2.0,41.0,53.0,23.0,4.1,51.1,12.3,3.0
170926.0,Felix Jones,23.0,DAL,RB,16.0,7.0,185.0,800.0,1.0,41.0,49.2,34.0,4.3,50.0,11.6,2.0
189614.0,Knowshon Moreno,23.0,DEN,RB,13.0,13.0,182.0,779.0,5.0,35.0,43.4,35.0,4.3,59.9,14.0,3.0
,Mike Tolbert,25.0,SDG,RB,15.0,4.0,182.0,735.0,11.0,43.0,49.5,36.0,4.0,49.0,12.1,5.0
,Jonathan Stewart,23.0,CAR,RB,14.0,7.0,178.0,770.0,2.0,32.0,36.0,48.0,4.3,55.0,12.7,4.0
238184.0,Jahvid Best,21.0,DET,RB,16.0,9.0,171.0,555.0,4.0,25.0,35.7,45.0,3.2,34.7,10.7,1.0
183332.0,Ryan Torain,24.0,WAS,RB,10.0,8.0,164.0,742.0,4.0,35.0,42.1,54.0,4.5,74.2,16.4,2.0
127078.0,Ricky Williams,33.0,MIA,RB,16.0,0.0,159.0,673.0,2.0,26.0,49.1,45.0,4.2,42.1,9.9,4.0
149846.0,Michael Bush,26.0,OAK,RB,14.0,3.0,158.0,655.0,8.0,32.0,44.3,30.0,4.1,46.8,11.3,0.0
241397.0,Ryan Mathews,23.0,SDG,RB,12.0,9.0,158.0,678.0,7.0,25.0,44.3,31.0,4.3,56.5,13.2,5.0
159679.0,Tim Hightower,24.0,ARI,RB,16.0,13.0,153.0,736.0,5.0,32.0,40.5,80.0,4.8,46.0,9.6,5.0
