Player ID,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
551558.0,Harrison Butker,22.0,KAN,K,13.0,0.0,0.0,0.0,8.0,8.0,17.0,16.0,12.0,10.0,5.0,4.0,42.0,38.0,53.0,90.5,28.0,28.0,100.0,78.0,5006.0,61.0,78.2,64.0
173684.0,Ryan Succop,31.0,TEN,K,16.0,0.0,0.0,0.0,10.0,10.0,7.0,7.0,20.0,16.0,5.0,2.0,42.0,35.0,52.0,83.3,33.0,31.0,93.9,80.0,5120.0,47.0,58.8,64.0
120324.0,Robbie Gould,35.0,SFO,K,16.0,0.0,0.0,0.0,8.0,7.0,11.0,11.0,18.0,17.0,4.0,4.0,41.0,39.0,52.0,95.1,30.0,28.0,93.3,4.0,101.0,0.0,0.0,25.0
,Phil Dawson,42.0,ARI,K,16.0,0.0,1.0,1.0,7.0,7.0,14.0,10.0,13.0,10.0,5.0,4.0,40.0,32.0,57.0,80.0,26.0,23.0,88.5,76.0,4647.0,34.0,44.7,61.0
140616.0,Stephen Gostkowski,33.0,NWE,K,16.0,0.0,0.0,0.0,16.0,16.0,9.0,9.0,11.0,8.0,4.0,4.0,40.0,37.0,62.0,92.5,47.0,45.0,95.7,99.0,6228.0,40.0,40.4,63.0
,Greg Zuerlein,30.0,LAR,K,14.0,0.0,1.0,1.0,8.0,8.0,12.0,11.0,12.0,12.0,7.0,6.0,40.0,38.0,56.0,95.0,46.0,44.0,95.7,95.0,6075.0,73.0,76.8,64.0
,Matt Bryant,42.0,ATL,K,16.0,0.0,1.0,1.0,6.0,6.0,13.0,10.0,10.0,9.0,9.0,8.0,39.0,34.0,57.0,87.2,35.0,35.0,100.0,0.0,0.0,0.0,,
482460.0,Chris Boswell,26.0,PIT,K,16.0,0.0,0.0,0.0,10.0,10.0,14.0,12.0,10.0,9.0,4.0,4.0,38.0,35.0,53.0,92.1,39.0,37.0,94.9,90.0,5681.0,46.0,51.1,63.0
187955.0,Kai Forbath,30.0,MIN,K,16.0,0.0,0.0,0.0,8.0,8.0,14.0,12.0,7.0,6.0,9.0,6.0,38.0,32.0,53.0,84.2,39.0,34.0,87.2,88.0,5587.0,44.0,50.0,64.0
377938.0,Justin Tucker,28.0,BAL,K,16.0,0.0,0.0,0.0,7.0,7.0,11.0,11.0,12.0,11.0,7.0,5.0,37.0,34.0,57.0,91.9,39.0,39.0,100.0,90.0,5601.0,55.0,61.1,62.0
537855.0,Wil Lutz,23.0,NOR,K,16.0,0.0,0.0,0.0,10.0,10.0,5.0,4.0,16.0,13.0,5.0,4.0,36.0,31.0,53.0,86.1,50.0,47.0,94.0,94.0,5972.0,58.0,61.7,64.0
,Matt Prater,33.0,DET,K,16.0,0.0,2.0,2.0,4.0,4.0,10.0,10.0,8.0,7.0,11.0,7.0,35.0,30.0,58.0,85.7,41.0,40.0,97.6,17.0,977.0,6.0,35.3,58.0
,Adam Vinatieri,45.0,IND,K,15.0,0.0,0.0,0.0,11.0,11.0,10.0,7.0,7.0,6.0,6.0,5.0,34.0,29.0,54.0,85.3,24.0,22.0,91.7,0.0,0.0,0.0,,
240963.0,Stephen Hauschka,32.0,BUF,K,16.0,0.0,0.0,0.0,6.0,6.0,9.0,9.0,9.0,7.0,9.0,7.0,33.0,29.0,56.0,87.9,29.0,29.0,100.0,74.0,4361.0,37.0,50.0,59.0
482164.0,Brandon McManus,26.0,DEN,K,16.0,0.0,0.0,0.0,8.0,6.0,12.0,11.0,6.0,4.0,6.0,3.0,32.0,24.0,53.0,75.0,27.0,27.0,100.0,71.0,4191.0,45.0,63.4,59.0
549513.0,Jake Elliott,22.0,PHI,K,15.0,0.0,0.0,0.0,5.0,5.0,7.0,4.0,13.0,12.0,6.0,5.0,31.0,26.0,61.0,83.9,42.0,39.0,92.9,84.0,5212.0,42.0,50.0,62.0
490871.0,Chandler Catanzaro,26.0,NYJ,K,16.0,0.0,1.0,1.0,6.0,6.0,4.0,4.0,17.0,12.0,2.0,2.0,30.0,25.0,57.0,83.3,29.0,29.0,100.0,71.0,4349.0,45.0,63.4,61.0
173647.0,Graham Gano,30.0,CAR,K,16.0,0.0,0.0,0.0,8.0,8.0,11.0,11.0,10.0,10.0,1.0,0.0,30.0,29.0,48.0,96.7,37.0,34.0,91.9,83.0,5313.0,70.0,84.3,64.0
379207.0,Blair Walsh,27.0,SEA,K,16.0,0.0,0.0,0.0,6.0,6.0,10.0,7.0,12.0,8.0,1.0,0.0,29.0,21.0,49.0,72.4,38.0,37.0,97.4,78.0,4837.0,39.0,50.0,62.0
531260.0,Ka'imi Fairbairn,23.0,HOU,K,16.0,0.0,0.0,0.0,4.0,3.0,10.0,8.0,7.0,6.0,4.0,3.0,25.0,20.0,55.0,80.0,35.0,32.0,91.4,75.0,4718.0,49.0,65.3,63.0
,Aldrick Rosas,23.0,NYG,K,16.0,0.0,0.0,0.0,8.0,8.0,5.0,3.0,9.0,4.0,3.0,3.0,25.0,18.0,52.0,72.0,23.0,20.0,87.0,62.0,3759.0,26.0,41.9,61.0
490212.0,Patrick Murray,26.0,TAM,K,12.0,0.0,0.0,0.0,5.0,5.0,8.0,8.0,5.0,4.0,5.0,2.0,23.0,19.0,50.0,82.6,22.0,21.0,95.5,59.0,3590.0,14.0,23.7,61.0
504119.0,Cody Parkey,25.0,MIA,K,16.0,0.0,0.0,0.0,6.0,6.0,8.0,8.0,7.0,6.0,2.0,1.0,23.0,21.0,54.0,91.3,29.0,26.0,89.7,67.0,4013.0,28.0,41.8,60.0
388014.0,Giorgio Tavecchio,27.0,OAK,K,16.0,0.0,0.0,0.0,5.0,5.0,7.0,5.0,5.0,3.0,4.0,3.0,21.0,16.0,53.0,76.2,34.0,33.0,97.1,64.0,4058.0,48.0,75.0,63.0
192523.0,Dan Bailey,29.0,DAL,K,12.0,0.0,1.0,1.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,20.0,15.0,56.0,75.0,28.0,26.0,92.9,56.0,3605.0,32.0,57.1,64.0
385266.0,Randy Bullock,28.0,CIN,K,15.0,0.0,0.0,0.0,6.0,6.0,8.0,7.0,5.0,4.0,1.0,1.0,20.0,18.0,51.0,90.0,33.0,31.0,93.9,65.0,4071.0,30.0,46.2,63.0
546436.0,Zane Gonzalez,22.0,CLE,K,16.0,0.0,0.0,0.0,5.0,5.0,6.0,4.0,6.0,4.0,3.0,2.0,20.0,15.0,54.0,75.0,26.0,25.0,96.2,56.0,3286.0,33.0,58.9,59.0
541166.0,Josh Lambo,27.0,JAX,K,10.0,0.0,0.0,0.0,2.0,2.0,11.0,11.0,5.0,4.0,2.0,2.0,20.0,19.0,56.0,95.0,24.0,22.0,91.7,57.0,3322.0,22.0,38.6,58.0
145297.0,Mason Crosby,33.0,GNB,K,16.0,0.0,0.0,0.0,8.0,8.0,4.0,2.0,4.0,4.0,3.0,1.0,19.0,15.0,50.0,78.9,35.0,33.0,94.3,68.0,4248.0,36.0,52.9,63.0
480761.0,Dustin Hopkins,27.0,WAS,K,8.0,0.0,1.0,1.0,7.0,7.0,2.0,2.0,5.0,4.0,2.0,0.0,17.0,14.0,49.0,82.4,19.0,18.0,94.7,40.0,2574.0,29.0,72.5,64.0
